Field,RA,DEC,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
HYDRA-0011,150.77,-23.91,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0
HYDRA-0012,152.31,-23.91,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0
HYDRA-0013,153.85,-23.91,58483.0,58483.0,58483.0,58483.0,58483.0,58483.0,58483.0,58483.0,58483.0,58483.0,58483.0,58483.0
HYDRA-0014,155.38,-23.91,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0
HYDRA-0015,156.93,-23.91,58231.0,58231.0,58231.0,58231.0,58231.0,58231.0,58231.0,58231.0,58231.0,58231.0,58231.0,58231.0
HYDRA-0016,158.46,-23.91,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0
HYDRA-0017,160.0,-23.91,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0
HYDRA-0018,161.54,-23.91,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58527.0,58527.0,58527.0,58527.0,58527.0
HYDRA-0019,163.08,-23.91,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0
HYDRA-0020,164.62,-23.91,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0
HYDRA-0021,151.17,-25.3,57785.0,57785.0,57785.0,57785.0,57785.0,57785.0,57785.0,57785.0,57785.0,57785.0,57785.0,57785.0
HYDRA-0022,152.73,-25.3,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0
HYDRA-0023,154.29,-25.3,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0
HYDRA-0024,155.85,-25.3,58484.0,58484.0,58484.0,58484.0,58484.0,58484.0,58484.0,58484.0,58484.0,58484.0,58484.0,58484.0
HYDRA-0025,157.4,-25.3,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0,58498.0
HYDRA-0026,158.96,-25.3,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0
HYDRA-0027,160.52,-25.3,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0,58526.0
HYDRA-0028,162.08,-25.3,58258.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0
HYDRA-0029,163.64,-25.3,58255.0,58255.0,58255.0,58255.0,58255.0,58255.0,58255.0,58255.0,58255.0,58255.0,58255.0,58255.0
HYDRA-0030,150.0,-26.69,58114.0,58114.0,58114.0,58114.0,58114.0,58114.0,58114.0,58114.0,58114.0,58114.0,58114.0,58114.0
HYDRA-0031,151.58,-26.69,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0,57784.0
HYDRA-0032,153.16,-26.69,58136.0,58136.0,58136.0,58136.0,58136.0,58136.0,58136.0,58136.0,58136.0,58136.0,58136.0,58136.0
HYDRA-0033,154.74,-26.69,58128.0,58128.0,58128.0,58128.0,58128.0,58128.0,58128.0,58128.0,58128.0,58128.0,58128.0,58128.0
