Field,u_3,J0378_3,J0395_3,J0410_3,J0430_3,g_3,J0515_3,r_3,J0660_3,i_3,J0861_3,z_3,u_5,J0378_5,J0395_5,J0410_5,J0430_5,g_5,J0515_5,r_5,J0660_5,i_5,J0861_5,z_5,u_10,J0378_10,J0395_10,J0410_10,J0430_10,g_10,J0515_10,r_10,J0660_10,i_10,J0861_10,z_10,u_50,J0378_50,J0395_50,J0410_50,J0430_50,g_50,J0515_50,r_50,J0660_50,i_50,J0861_50,z_50
HYDRA-0011,20.21625392119925,20.122658530565744,19.865073425885612,19.729764068163703,19.58396715969365,20.95661331118111,19.91804717048661,21.148520312379205,20.69840728502466,20.79155845846558,19.48757572984026,20.11161551600689,20.11487266508621,19.763165894073488,19.227020553161054,19.534962255342656,19.5308206215498,20.875284142348185,19.83036062142507,21.05391668465215,20.63156306649617,20.749443492362456,19.457485467382526,20.064653730980382,19.548406795746125,18.970717833415975,18.519987180491164,18.79240893022966,18.73906564728547,20.360542891466434,19.181984403863503,20.366623613315546,19.691057962850927,20.03807133272332,18.63347613010101,19.179532429060956,16.96107830764887,15.926675268977482,15.473462729458095,15.620314825002147,15.98695870910039,17.08027475503841,15.780474516922418,16.513543927382365,16.077970716856093,16.390306610132406,14.866266852882674,15.19331050008002
HYDRA-0012,20.472869406778468,20.15650928307253,19.65380009967108,19.898562247927885,19.915917597127937,21.142190123712133,20.368266762196676,21.227943926398133,20.966863850267156,20.798549621995896,19.81720567769112,20.1101695889507,20.463138167583757,20.165260905587658,19.643251682899177,19.97084219882783,19.974392105144815,21.116767967323305,20.389784257621653,21.204529742538163,20.97101002697714,20.79331007234039,19.829944667558735,20.05272439965301,20.17476323881399,19.71929182616926,19.267904696227795,19.428543326980268,19.475908009276736,20.67439576542577,19.753593820427987,20.59956924627489,20.422570295218087,20.058576251546032,19.218843139433343,19.226300217045882,17.60003910538001,17.05281059851101,16.659736950821607,16.69725190155684,16.71107375353678,17.663048398378237,16.67225047905587,17.50870176407313,17.549663574513225,16.74677667156982,16.165554941370633,15.91834154707033
HYDRA-0013,20.28752606049077,19.794825062142124,19.373251856655916,19.292041978494233,19.632702070261715,21.070793381664153,20.14157745176165,20.84433110547846,20.45940313172619,20.808814538429004,19.737350141257693,20.129053868505615,20.262898987594948,19.813683435408713,19.350043894074766,19.2930558873301,19.626107350622263,21.03653873599508,20.121783175904547,20.763498393282923,20.45539154024418,20.70868842107796,19.67327498731979,20.0017360490452,19.925003161812832,19.45965917980432,18.956163928586488,19.109881938803298,19.321155373345334,20.33889120350284,19.440559414442887,19.958709844725874,19.817531954246128,19.63415150203471,18.73926282777461,18.63295044468699,17.185682108539027,16.738252499532376,16.26674600370131,16.237816760249444,16.095707522032264,16.57579909895076,15.362459271628579,16.146721302727734,16.224267856047057,14.927599447108724,15.444095597493495,14.82048316073944
HYDRA-0014,20.423550087732423,19.354894938226238,19.308561827056252,19.270974164416963,19.542849550272088,20.976757821751733,20.149250337179083,21.218624293350864,21.08118238705496,20.92832775178963,20.030853840551032,20.15938289192864,20.43169259840114,19.4164989811613,19.31448427247397,19.276530948422824,19.54899489430195,20.91982773671084,20.13100028203361,21.18484238534594,21.036023981908713,20.917599403562527,20.002379831141102,20.125454022129368,20.09338579398358,19.44509511921373,19.09356549607642,19.123255665732557,18.95545977459242,20.485536993809973,19.67853627407098,20.552156063978277,20.44210062230605,20.13594399395614,19.24473070496726,19.23264411443294,17.470677338797195,16.96364177384465,16.351780238279765,16.412264874164155,16.45534825948341,17.562748878648616,16.507537263549043,16.595760547378287,16.715460185388892,16.17101009069119,15.941821445074254,15.79984510606403
HYDRA-0015,19.623267192017508,19.229876505454033,18.95861751345299,18.8756914823653,18.958096159405002,20.023899405627567,19.169300651643447,20.185880039205728,19.729561144164474,19.827940630024855,18.728247246379304,19.0020811735778,19.574975865305603,19.22742294862474,18.946562992021533,18.86059426782127,18.962338106166584,19.98313276232394,19.187159454883677,20.192415660297154,19.692171976915787,19.83396148095639,18.729705105580532,19.027513750979264,19.337383896227166,18.92804759194005,18.63890933506303,18.629706722141634,18.697731927114457,19.526714167371324,18.774301560005377,19.646178427644394,19.318815042437997,19.286589503598048,18.033625973200124,18.325500951747955,16.854105452103827,16.42427430620865,16.117803787059515,16.09991922581361,16.211645309349514,16.944852289859003,16.369493611599776,16.920514214624305,16.7442017192031,16.566469900918094,15.413006940809826,15.547933482402652
HYDRA-0016,19.993772055895697,19.469977422927418,19.039166416830238,19.147715907981326,19.139659544700322,20.35507138319963,19.328145425118997,20.151125427636774,20.085896865492998,19.705527333658203,19.265747161413735,19.192796902926712,19.980922689878575,19.46601487873235,19.062723154711364,19.1442510623476,19.17212194465263,20.34739616108905,19.326271738239242,20.195098615029906,20.081853142569198,19.687235704776413,19.2679504772067,19.18500026326968,19.900815457684796,19.38699092578698,18.927475268236222,19.00490247504188,19.008691435759346,20.089680687070086,19.168950787117105,20.051562048568904,19.945913455233796,19.55602813215839,18.86815348680532,18.860585148083036,17.301558310688208,16.71391505864129,15.807440636551929,16.234598201666916,16.17533785958885,17.51360900311525,16.291325271200588,17.454493098981786,17.153699478466226,16.87441746578949,15.56939244355219,15.816470304763037
HYDRA-0017,19.634518560426386,19.154259133914223,18.51149419964807,18.60959499596416,18.649241923044162,19.790460451505908,18.872228435779185,19.58195156528605,19.3487422761259,19.233659952809298,18.217565132774784,18.657555230441915,19.630097902109473,19.121693621299382,18.49723953103677,18.591876485946287,18.621498391710922,19.77201306753727,18.865366757724132,19.561238612014854,19.312194953673696,19.191576479944423,18.178111589370463,18.654751938606974,19.463128828296515,18.962862592042256,18.407938871867866,18.48138879830622,18.547645801663833,19.62832838672626,18.7569548946206,19.4151082008553,19.270489263429745,18.966447288765515,18.073179714885747,18.196402628299474,16.981503214232966,16.57261431218593,16.167997130715104,16.17282640288331,16.190063072079344,17.0792966580295,16.35440715940534,16.757999126786842,16.68022709241876,16.202936956887704,15.282549427774109,15.541930242601085
HYDRA-0018,19.970068304031585,19.66775766467395,19.421633626192786,19.203980721200146,19.208611811754153,20.331671471052747,19.515886473577382,20.41672187447773,20.326012760910352,20.17727113339754,18.975437733343377,19.475106526207597,19.96183733777035,19.626559597391097,19.35314274979588,19.153605745360196,19.202183372622425,20.236663679650082,19.432944048670215,20.392018634010256,20.281796038196827,20.18923169034794,18.96099724702363,19.471099331800396,19.255009344490453,18.873514209333408,18.591426147116653,18.507403832750256,18.516933751043574,19.244046716345984,18.69487346709299,20.247978744938266,20.182103607906054,20.00590536098418,18.874323495184687,19.296387216407417,16.44520948592959,15.82819819344758,15.411008213133176,15.090397193913702,15.012461138187508,15.599710699194361,14.659401598596151,17.647354732328765,17.517870690901816,17.11099026819471,16.36215319605,16.302382058764458
HYDRA-0019,19.570015590905545,19.39329701237758,18.964468573580007,19.072671782645433,19.18030813068131,20.59481677677614,19.62869932599387,20.381420242376677,20.18997106792367,20.048746724948977,19.12918511656717,19.462807108309782,19.57410364679601,19.387063032869285,19.014578689109115,19.053587439755326,19.170176289762544,20.592592306675456,19.613450605606822,20.426471382160486,20.194660443378112,20.080684334173824,19.114691941904187,19.490508769395674,19.711232190939448,19.24201170580644,18.86396480903904,18.89445561076513,19.049656801672995,20.375709457454654,19.454719773517102,20.143442742997276,20.033607325571886,19.693488248150686,18.738094510977255,18.83735589648654,16.5458681187529,16.091042255330482,15.81651035119718,16.003515528083312,15.888944825752569,17.24777782468399,16.200843401958252,16.815504588971407,16.565822751069433,16.236028197760305,15.453843319994673,15.605802202677122
HYDRA-0020,19.75632248793577,19.61587234603295,19.314735510512286,19.400527908480683,19.196364479277186,20.60158489078205,19.732115041731404,20.64932913681009,20.63076748629011,20.304036783791275,19.625397744145754,19.56779611544977,19.77171437979471,19.630131969328673,19.28355958018438,19.38301110719234,19.21282137917477,20.56803817881523,19.73522242267454,20.598159675985414,20.60017086923176,20.27662275883223,19.60294355204868,19.558987544153055,19.326442217343292,19.271873380656245,18.968151131655645,18.85157295655421,18.75293330592732,19.99903714995024,19.273893090257356,19.99525289271604,19.970458726839205,19.55338573773947,18.825188593927425,18.697746645692,16.75157585768339,16.660740323529126,16.122899551764593,16.15190531490521,16.198239602221214,17.187428268433585,16.558094076846803,16.920318909730774,16.87698403278238,16.4973112534698,15.44970911653979,15.50577960036083
