Field,RA,DEC,ZP_u,ZP_J0378,ZP_J0395,ZP_J0410,ZP_J0430,ZP_g,ZP_J0515,ZP_r,ZP_J0660,ZP_i,ZP_J0861,ZP_z,u_FWHM,J0378_FWHM,J0395_FWHM,J0410_FWHM,J0430_FWHM,g_FWHM,J0515_FWHM,r_FWHM,J0660_FWHM,i_FWHM,J0861_FWHM,z_FWHM,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
HYDRA-0011,150.77,-23.91,19.978,19.217,19.283,20.346,20.511,22.781,20.719,22.71,20.207,22.488,20.757,21.904,1.228,1.227,1.192,1.172,1.251,1.269,1.204,1.187,1.096,1.246,1.212,1.287,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0,57787.0
HYDRA-0012,152.31,-23.91,20.824,20.049,20.073,21.092,21.22,23.569,21.506,23.573,21.096,23.361,21.624,22.781,1.601,1.359,1.326,1.256,1.287,1.324,1.221,1.222,1.269,1.21,1.3,1.238,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0,58464.0
HYDRA-0013,153.85,-23.91,20.85,20.058,20.069,21.108,21.225,23.569,21.502,23.558,21.084,23.344,21.606,22.771,1.83,1.698,1.59,1.858,1.508,1.297,1.339,1.381,1.502,1.203,1.084,1.114,58483.0,58483.0,58483.0,58483.0,58483.0,58483.0,58483.0,58483.0,58483.0,58483.0,58483.0,58483.0
HYDRA-0014,155.38,-23.91,20.775,19.981,19.994,20.99,21.087,23.436,21.376,23.478,21.006,23.288,21.579,22.685,1.537,1.414,1.349,1.362,1.335,1.39,1.25,1.232,1.197,1.174,1.217,1.25,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0,58524.0
HYDRA-0015,156.93,-23.91,20.903,20.074,20.07,21.112,21.256,23.589,21.505,23.525,20.982,23.303,21.389,22.714,1.833,1.707,1.595,1.685,1.673,1.674,1.694,1.507,1.73,1.507,1.437,1.532,58231.0,58231.0,58231.0,58231.0,58231.0,58231.0,58231.0,58231.0,58231.0,58231.0,58231.0,58231.0
HYDRA-0016,158.46,-23.91,20.88,20.07,20.072,21.07,21.181,23.525,21.462,23.536,21.062,23.339,21.597,22.758,2.321,2.177,2.128,2.183,2.162,2.082,2.268,2.226,2.324,2.348,1.764,2.076,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0,58520.0
HYDRA-0017,160.0,-23.91,20.801,19.976,19.984,21.011,21.159,23.516,21.449,23.472,20.931,23.22,21.415,22.543,2.106,2.141,2.214,2.338,2.3,2.277,2.364,2.515,2.703,2.132,2.481,1.954,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0,58259.0
HYDRA-0018,161.54,-23.91,20.834,20.032,20.038,21.018,21.121,23.445,21.377,23.52,21.034,23.311,21.589,22.745,1.362,1.26,1.195,1.2,1.161,1.173,1.121,2.124,2.049,1.992,2.45,2.124,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58538.0,58527.0,58527.0,58527.0,58527.0,58527.0
HYDRA-0019,163.08,-23.91,20.898,20.08,20.072,21.064,21.178,23.515,21.46,23.53,21.051,23.326,21.59,22.751,2.395,2.317,2.207,2.235,2.14,2.052,2.163,2.128,2.325,1.914,1.861,1.696,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0,58519.0
HYDRA-0020,164.62,-23.91,20.842,20.052,20.028,21.091,21.234,23.56,21.487,23.511,21.019,23.288,21.554,22.71,1.526,1.403,1.349,1.381,1.586,1.43,1.394,1.362,1.235,1.309,1.197,1.353,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0,58230.0
HYDRA-0021,151.17,-25.3,20.135,19.322,19.411,20.468,20.615,22.882,20.788,22.761,20.259,22.505,20.782,21.927,1.227,1.189,1.226,1.246,1.349,1.134,1.344,1.254,1.216,1.197,1.256,1.158,57785.0,57785.0,57785.0,57785.0,57785.0,57785.0,57785.0,57785.0,57785.0,57785.0,57785.0,57785.0
HYDRA-0022,152.73,-25.3,20.9,20.093,20.111,21.106,21.234,23.566,21.491,23.556,21.07,23.335,21.599,22.786,2.184,1.756,1.672,1.674,1.658,1.477,1.505,1.66,1.674,1.426,1.283,1.883,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0,58487.0
HYDRA-0023,154.29,-25.3,20.889,20.097,20.11,21.132,21.262,23.599,21.528,23.572,21.084,23.353,21.629,22.783,1.977,1.64,1.594,1.581,1.533,1.488,1.549,1.481,1.312,1.328,1.196,1.202,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0
